Copyright, Sundhedsdatastyrelsen
SKS-databasen opdateres jævnligt. Dette udtræk modsvarer opdateringen d 01-07-2024.

"Tekst";"Kode"
"Klassifikation af sygdomme og helbredsrelaterede tilstande";"D"
"Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99]";""
"Infektiøse tarmsygdomme [DA00-DA09]";""
"Kolera";"DA00"
"Kolera forårsaget af Vibrio cholerae";"DA000"
"Kolera forårsaget af Vibrio cholerae eltor";"DA001"
"Kolera UNS";"DA009"
"Tyfus og paratyfus";"DA01"
"Tyfus";"DA010"
"Paratyfus A";"DA011"
"Paratyfus B";"DA012"
"Paratyfus C";"DA013"
"Paratyfus UNS";"DA014"
"Andre salmonellainfektioner";"DA02"
"Salmonellaenterit";"DA020"
"Salmonellasepsis";"DA021"
"Lokaliseret salmonellainfektion";"DA022"
"Anden salmonellainfektion";"DA028"
"Salmonellainfektion UNS";"DA029"
"Bacillær dysenteri";"DA03"
"Dysenteri forårsaget af Shigella dysenteriae";"DA030"
"Dysenteri forårsaget af Shigella flexneri";"DA031"
"Dysenteri forårsaget af Shigella boydii";"DA032"
"Dysenteri forårsaget af Shigella sonnei";"DA033"
"Anden bacillær dysenteri";"DA038"
"Bacillær dysenteri UNS";"DA039"
"Andre bakterielle tarminfektioner";"DA04"
"Enteritis forårsaget af enteropatogen Escherichia coli-infektion";"DA040"
"Enteritis forårsaget af enterotoksisk Escherichia coli-infektion";"DA041"
"Enteritis forårsaget af enteroinvasiv Escherichia coli-infektion";"DA042"
"Enteritis forårsaget af enterohæmoragisk Escherichia coli-infektion";"DA043"
"Anden tarminfektion med Escherichia coli";"DA044"
"Enteritis forårsaget af Campylobacter";"DA045"
"Enteritis forårsaget af Yersinia enterocolitica";"DA046"
"Enterokolitis forårsaget af Clostridium difficile";"DA047"
"Anden bakteriel enteritis";"DA048"
"Enteritis forårsaget af bakterier UNS";"DA049"
"Andre bakterielle fødevareforgiftninger IKA";"DA05"
"Fødevareforgiftning forårsaget af stafylokokker";"DA050"
"Botulisme";"DA051"
"Fødevareforgiftning forårsaget af Clostridium perfringens";"DA052"
"Fødevareforgiftning forårsaget af Vibrio parahaemolyticus";"DA053"
"Fødevareforgiftning forårsaget af Bacillus cereus";"DA054"
"Anden bakteriel fødevareforgiftning";"DA058"
"Bakteriel fødevareforgiftning UNS";"DA059"
"Amøbedysenteri";"DA06"
"Akut amøbedysenteri";"DA060"
"Kronisk intestinal amøbeinfektion";"DA061"
"Colitis forårsaget af amøbeinfektion";"DA062"
"Amøbom i tarm";"DA063"
"Amøbom UNS";"DA063A"
"Leverabsces forårsaget af amøbeinfektion";"DA064"
"Lungeabsces forårsaget af amøbeinfektion";"DA065"
"Hjerneabsces forårsaget af amøbeinfektion";"DA066"
"Amøbeinfektion i huden";"DA067"
"Amøbeinfektion med anden lokalisation";"DA068"
"Appendicitis forårsaget af amøbeinfektion";"DA068A"
"Amøbeinfektion UNS";"DA069"
"Andre tarmsygdomme fremkaldt af protozoer";"DA07"
"Balantidiasis";"DA070"
"Giardiasis";"DA071"
"Cryptosporidiosis";"DA072"
"Isosporiasis";"DA073"
"Anden tarminfektion forårsaget af protozoer";"DA078"
"Sarcocystose";"DA078A"
"Trichomoniasis intestinalis";"DA078C"
"Coccidiosis intestinalis";"DA078D"
"Tarmsygdom forårsaget af protozoer UNS";"DA079"
"Tarminfektioner forårsaget af virus og andre organismer";"DA08"
"Enteritis forårsaget af rotavirus";"DA080"
"Akut gastroenteritis forårsaget af Norwalk-virus";"DA081"
"Enteritis forårsaget af adenovirus";"DA082"
"Enteritis forårsaget af anden virus";"DA083"
"Gastroenteritis forårsaget af parvovirus";"DA083A"
"Tarminfektion forårsaget af virus UNS";"DA084"
"Tarminfektion forårsaget af anden (mikro)organisme UNS";"DA085"
"Anden gastroenteritis og colitis af infektiøs eller ikke specificeret årsag";"DA09"
"Anden og uspecifik gastroenteritis og colitis af infektiøs oprindelse";"DA090"
"Gastroenteritis eller colitis af ikke specificeret årsag";"DA099"
"Tuberkulose [DA15-DA19]";""
"Tuberkulose i åndedrætsorganer verificeret bakteriologisk og histologisk";"DA15"
"Lungetuberkulose verificeret ved mikroskopi af ekspektorat med eller uden dyrkning";"DA150"
"Lungetuberkulose verificeret alene ved dyrkning";"DA151"
"Lungetuberkulose verificeret histologisk";"DA152"
"Lungetuberkulose verificeret ved ikke angivet metode";"DA153"
"Tuberkulose i intratorakale lymfeknuder verificeret bakteriologisk eller histologisk";"DA154"
"Tuberkulose i struben, luftrøret eller bronkier verificeret bakteriologisk eller histologisk";"DA155"
"Tuberkuløs lungehindebetændelse verificeret bakteriologisk eller histologisk";"DA156"
"Primær tuberkulose i åndedrætsorganerne verificeret bakteriologisk eller histologisk";"DA157"
"Anden tuberkulose i åndedrætsorganerne verificeret bakteriologisk og histologisk";"DA158"
"Tuberkulose i mediastinum verificeret bakteriologisk og histologisk";"DA158A"
"Tuberkulose i næsen verificeret bakteriologisk og histologisk";"DA158B"
"Tuberkulose i næsesvælget verificeret bakteriologisk og histologisk";"DA158C"
"Tuberkulose i åndedrætsorganerne UNS, verificeret bakteriologisk eller histologisk";"DA159"
"Tuberkulose i åndedrætsorganer ikke bakteriologisk eller histologisk verificeret";"DA16"
"Lungetuberkulose, bakteriologisk og histologisk negativt fund";"DA160"
"Lungetuberkulose, bakteriologisk og histologisk undersøgelse ikke er foretaget";"DA161"
"Lungetuberkulose uden angivelse af bakteriologisk eller histologisk verifikation";"DA162"
"Tuberkuløs lungefibrose UNS";"DA162A"
"Tuberkuløs pneumoni UNS";"DA162B"
"Tuberkuløs pneumothorax UNS";"DA162C"
"Tuberkulose i intratorakale lymfekirtler uden angivelse af bakteriologisk eller histologisk verifikation";"DA163"
"Tuberkulose i struben, luftrøret eller bronkier uden angivelse af bakteriologisk eller histologisk verifikation";"DA164"
"Tuberkuløs lungehindebetændelse uden angivelse af bakteriologisk eller histologisk verifikation";"DA165"
"Primær tuberkulose i åndedrætsorganerne uden angivelse af bakteriologisk eller histologisk verifikation";"DA167"
"Anden tuberkulose i åndedrætsorganerne uden angivelse af bakteriologisk eller histologisk verifikation";"DA168"
"Tuberkulose i mediastinum UNS";"DA168A"
"Tuberkulose i næsen UNS";"DA168B"
"Tuberkulose i næsesvælget UNS";"DA168C"
"Tuberkulose i åndedrætsorganerne UNS, uden angivelse af bakteriologisk eller histologisk verifikation";"DA169"
"Tuberkulose i nervesystemet";"DA17"
"Tuberkuløs meningitis";"DA170"
"Tuberkulom i hjernehinder";"DA171"
"Anden form for tuberkulose i nervesystemet";"DA178"
"Tuberkulose i nervesystemet UNS";"DA179"
"Tuberkulose i andre organer";"DA18"
"Tuberkulose i knogler og led";"DA180"
"Tuberkulose i urinveje og kønsorganer";"DA181"
"Tuberkulose i perifere lymfeknuder";"DA182"
"Tuberkulose i tarm, bughinde og mesenteriale lymfeknuder";"DA183"
"Tuberkulose i retroperitoneale lymfeknuder";"DA183F"
"Tuberkuløs ascites";"DA183G"
"Tuberkulose i mesenteriale lymfeknuder";"DA183H"
"Tuberkulose i hud og underhud";"DA184"
"Lupus";"DA184A"
"Lupus excedens";"DA184B"
"Lupus vulgaris";"DA184C"
"Scrofuloderma";"DA184D"
