Kode,Tekst,Kapitel,Kap_n,Kap_desc
DA00,Kolera,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA000,Kolera forårsaget af Vibrio cholerae,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA001,Kolera forårsaget af Vibrio cholerae eltor,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA009,Kolera UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA01,Tyfus og paratyfus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA010,Tyfus,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA011,Paratyfus A,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA012,Paratyfus B,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA013,Paratyfus C,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA014,Paratyfus UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA02,Andre salmonellainfektioner,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA020,Salmonellaenterit,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA021,Salmonellasepsis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA022,Lokaliseret salmonellainfektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA028,Anden salmonellainfektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA029,Salmonellainfektion UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA03,Bacillær dysenteri,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA030,Dysenteri forårsaget af Shigella dysenteriae,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA031,Dysenteri forårsaget af Shigella flexneri,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA032,Dysenteri forårsaget af Shigella boydii,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA033,Dysenteri forårsaget af Shigella sonnei,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA038,Anden bacillær dysenteri,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA039,Bacillær dysenteri UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA04,Andre bakterielle tarminfektioner,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA040,Enteritis forårsaget af enteropatogen Escherichia coli-infektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA041,Enteritis forårsaget af enterotoksisk Escherichia coli-infektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA042,Enteritis forårsaget af enteroinvasiv Escherichia coli-infektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA043,Enteritis forårsaget af enterohæmoragisk Escherichia coli-infektion,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA044,Anden tarminfektion med Escherichia coli,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA045,Enteritis forårsaget af Campylobacter,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA046,Enteritis forårsaget af Yersinia enterocolitica,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA047,Enterokolitis forårsaget af Clostridium difficile,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA048,Anden bakteriel enteritis,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA049,Enteritis forårsaget af bakterier UNS,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
DA05,Andre bakterielle fødevareforgiftninger IKA,Kap. I: Visse infektiøse og parasitære sygdomme [DA00-DB99],I,Visse infektiøse og parasitære sygdomme [DA00-DB99]
